Archivaliensignatur,Datierung von(Zahl),Datierung bis(Zahl),Datierung (Text),Klassifikationsgruppe,Aktentitel,Enthält-Vermerk,Umfang der Akte (Blattzahl),Sortierfeld (intern)
F 04611,19370101,19481231,1937 - 1948,13.11 Firmen K,"Karstädt, Herm., Musikalienhandlung, Berlin", ,6 Bl.,"Karstädt, Hermann"
F 04612,19370101,19491231,1937 - 1949,13.11 Firmen K,"Karstadt Aktiengesellschaft, Rudolph, Abt. Buchhandel, Musikalien, Sortiment, Modernes Antiquariat, Leiter der Abt. Richard Rudloff, Berlin", ,10 Bl.,"Karstadt A.-G., Rudolph Berlin"
F 04613,19370101,19491231,1937 - 1949,13.11 Firmen K,"Karstadt Aktiengesellschaft, Rudolph, Abt. Buchhandel, Musikalien, Antiquariat, Leiter der Buchabt. Ernst Joos, Bremen", ,17 Bl.,"Karstadt A.-G., Rudolph Bremen"
F 04614,19370101,19491231,1937 - 1949,13.11 Firmen K,"Karstadt Aktiengesellschaft, Rudolph, Abt. Buch-, Kunst-, Musikalienhandel, Leiter der Buchabt. Johann Götz, Hamburg", ,13 Bl.,"Karstadt A.-G., Rudolph Hamburg"
F 04615,19370101,19491231,1937 - 1949,13.11 Firmen K,"Karstadt Aktiengesellschaft, Rudolph, Abt. Buchhandel, Sortiment, Musikalien, Leiter der Abt. Franz Seelmann, Hamburg-Barmbeck", ,22 Bl.,"Karstadt A.-G., Rudolph Hamburg-Barmbeck"
F 04616,19370101,19491231,1937 - 1949,13.11 Firmen K,"Karstadt Aktiengesellschaft, Rudolph, Abt. Buchhandel, Antiquariat, Leiterin der Buchabt. Loni Hauser, Kiel", ,19 Bl.,"Karstadt A.-G., Rudolph Kiel"
F 04617,19370101,19371231,1937,13.11 Firmen K,"Karstadt Aktiengesellschaft, Rudolph, Leiter der Buchabt. Josef Creutz, Königsberg", ,3 Bl.,"Karstadt A.-G., Rudolph Königsberg"
F 04618,19370101,19531231,1937 - 1953,13.11 Firmen K,"Karstadt Aktiengesellschaft, Rudolph, Abt. Buchhandel, Musikalien, Antiquariat, Leiter der Buchabt. Max Schönfeldt, Potsdam", ,31 Bl.,"Karstadt A.-G., Rudolph Potsdam"
F 04619,19370101,19371231,1937,13.11 Firmen K,"Karstadt Aktiengesellschaft, Rudolph, Abt. Buch-, Kunst- und Musikalienhandel, Leiter der Buchabt. Ernst Schmidt, Stettin", ,3 Bl.,"Karstadt A.-G., Rudolph Stettin"
F 04620,19370101,19441231,1937 - 1944,13.11 Firmen K,"Kartographische Anstalt G. Freytag & Berndt A. G., später Freytag-Berndt und Artaria K. G., Landkartenverlag und -Sortiment, Wien (Österreich)", ,27 Bl.,Kartographische Anstalt G. Freytag & Berndt
F 04621,19370101,19401231,1937 - 1940,13.11 Firmen K,"Kaselow Inhaberin Eleonore Oesterreich, Susanne, Musikalienhandlung, Stettin", ,14 Bl.,"Kaselow, Susanne"
F 04622,19420101,19421231,1942,13.11 Firmen K,"Kasper & Kellner, Buch- und Papierhandlung, Reps (Rumänien)", ,2 Bl.,Kasper & Kellner
F 04623,19370101,19371231,1937,13.11 Firmen K,"Kastegren, S., Buchhandlung, Kuopio (Finnland)",Enthält nur: Hinweis auf Streichung aus dem Adressbuch des Deutschen Buchhandels ,4 Bl.,"Kastegren, S."
F 04625,19370101,19751231,1937 - 1975,13.11 Firmen K,"Kästner, L., Buch- und Papierhandlung, Inhaberin Elisabeth Kästner, Schmiedeberg", ,94 Bl.,"Kästner, L."
F 04626,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kastner-Eichenlaub, J., Buch- und Musikalienhandlung, Modernes Antiquariat, Inhaber Fritz Eichenlaub, Landau", ,21 Bl.,"Kastner-Eichenlaub, J."
F 04627,19370101,19491231,1937 - 1949,13.11 Firmen K,"Katerlöh, Friedr., Buch-, Papier- und Schreibwarenhandlung, Inhaber Hermann Katerlöh, Altena", ,12 Bl.,"Katerlöh, Friedrich"
F 04628,19370101,19431231,1937 - 1943,13.11 Firmen K,"Kath, Max, Buch-, Kunst- und Papierhandlung, Inhaber Martin Bergner, Cammin", ,11 Bl.,"Kath, Max"
F 04629,19370101,19431231,1937 - 1943,13.11 Firmen K,"Kathan, Waldemar, Verlag, München", ,15 Bl.,"Kathan, Waldemar"
F 04630,19360101,19361231,1936,13.11 Firmen K,"Katholische Bücherstube Inhaber Karl Glock, Nürnberg ",Enthält nur: Hinweise auf das Erlöschen der Firma ,3 Bl.,Katholische Bücherstube Nürnberg
F 04631,19330101,19491231,1933 - 1949,13.11 Firmen K,"Katholische Buchhandlung Inhaber Rupert Fraundorfner, Buch- und Schreibwarenhandlung, Altötting",Enthält nur: Hinweise auf das Erlöschen der Firma ,23 Bl.,Katholische Buchhandlung Altötting
F 04632,19360101,19371231,1936 - 1937,13.11 Firmen K,"Katholische Vereinsbuchhandlung G.m.b.H., Neunkirchen",Enthält nur: Hinweise auf das Konkursverfahren,5 Bl.,Katholische Vereinsbuchhandlung Neunkirchen
F 04633,19370101,19451231,1937 - 1945,13.11 Firmen K,"Katholische Vereinsbuchhandlung ""Unitas"" G.m.b.H., Inhaberin Susanna Rumpf, Nürnberg",,5 Bl.,"Katholische Vereinsbuchhandlung ""Unitas"""
F 04634,19300101,19441231,1930 - 1944,13.11 Firmen K,"Katholische Vereinsbuchhandlung Salzburg, Sortiment, Verlags- und Kunsthandlung, Geschäftsführer Wilhelm Müller, später Alpenwacht Buchhandlung, Inhaber Franz Aschenbrenner, Salzburg (Österreich)",,49 Bl.,Katholische Vereinsbuchhandlung Salzburg
F 04635,19370101,19421231,1937 - 1942,13.11 Firmen K,"Katholische Verlagsbuchhandlung Eugen Gutberlet, Geschäftsführer Ernst Krause, Leipzig",,14 Bl.,Katholische Verlagsbuchhandlung Eugen Gutberlet
F 04636,19370101,19491231,1937 - 1949,13.11 Firmen K,"Katholischer Bücher- und Schriftenverlag Philipp Brucker, Stuttgart",,13 Bl.,Katholischer Bücher- und Schriftenverlag
F 04637,19370101,19431231,1937 - 1943,13.11 Firmen K,"Katholischer Buch- und Zeitschriftenvertrieb Inhaber Wilhelm Brass, Siegen",,11 Bl.,Katholischer Buch- und Zeitschriftenvertrieb
F 04638,19310101,19441231,1931 - 1944,13.11 Firmen K,"Katholischer Pressverein Linz, Verlag, Buch- und Kunsthandlung, Buchdruckerei, später NS.-Gauverlag und Druckerei Oberdonau G.m.b.H., Geschäftsführer Ernst Seidl, Linz (Österreich)",,96 Bl.,Katholischer Pressverein Linz
F 04639,19300101,19461231,1930 - 1946,13.11 Firmen K,"Kattowitzer Buchdruckerei- und Verlags-Sp. Akc., Sortiment-, Kunst-, Musikalien-, Papier- und Schreibwarenhandlung, Zeitschriften-Grosso-Handel, Direktor Horst Kriedte, Kattowitz (Katowice, Polen)",,110 Bl.,Kattowitzer Buchdruckerei- und Verlags-Sp. Akc.
F 04640,19420101,19421231,1942,13.11 Firmen K,"Katz Inhaber Stefan Weinberg, G., Buchhandlung, Sortiment, Musikalien, Antiquariat, Budapest (Ungarn)",,4 Bl.,"Katz, G."
F 04641,19350101,19441231,1935 - 1944,13.11 Firmen K,"Katz, Richard, Nachf. von Max Schmidt, Buchhandlung, Zürich (Schweiz)",,74 Bl.,"Katz, Richard"
F 04642,19370101,19481231,1937 - 1948,13.11 Firmen K,"Katzer, Fr., Buchhandlung und Antiquariat, Inhaber Walter Katzer, Dresden",,16 Bl.,"Katzer, Fr."
F 04643,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kauffmann, Walter, Buch-, Zeitschriften-, Papier- und Schreibwarenhandlung, Ditzingen",,8 Bl.,"Kauffmann, Walter"
F 04644,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kauffmann, Wilh., Buchhandlung, Verlag, Buchdruckerei und Buchbinderei, Stolzenau (Weser)",,10 Bl.,"Kauffmann, Wilhelm"
F 04645,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaufhaus Kortum A.-G., Buchabteilung, Leiter der Abt. Wilhelm Dobbertin, Bochum",,17 Bl.,Kaufhaus Kortum
F 04646,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaufhaus Carl Peters G.m.b.H., Abteilung Buchhandlung, Leiterin der Abt. Beta Melchert, Köln",,15 Bl.,Kaufhaus Carl Peters
F 04647,19280101,19391231,1928 - 1939,13.11 Firmen K,"Kaufhaus Renner G.m.b.H., Buch- und Musikalienabteilung, Leiter der Buch-Abt. Erich Schulze, Dresden",,146 Bl.,Kaufhaus Renner 
F 04648,19360101,19501231,1936 - 1950,13.11 Firmen K,"Kaufhaus des Westens G.m.b.H., Buch-, Kunst- und Musikalienabteilung, Leiter der Buchabt. W. Heuchel, Berlin ",,27 Bl.,Kaufhaus des Westens
F 04649,19370101,19491231,1937 - 1949,13.11 Firmen K,"Käufler, Arno E., Bücher- und Zeitschriftenvertrieb, Inhaber Arno Edmund Alexander Käufler, Dresden",,16 Bl.,"Käufler, Arno"
F 04650,19370101,19491231,"1937 - 1949, 1957",13.11 Firmen K,"Kaufmann's Buchhandlung (Rudolf Heinze), G. A., Hauptvertriebsstelle der amtlichen Kartenwerke der Landesaufnahme Sachsen, Inhaber Johannes Heinze, Dresden, später Bonn",,46 Bl.,"Kaufmann, G. A."
F 04651,19370101,19491231,"1937 - 1949, 1957",13.11 Firmen K,"Kaufmann, Ernst, Christl. Kunst- und Kalenderverlag, Offset-, Stein- und Buchdruck, Lahr",,46 Bl.,"Kaufmann, Ernst"
F 04652,19370101,19501231,1937 - 1950,13.11 Firmen K,"Kaufmann, Hans, Buch-, Zeitschriften- und Zeitungs-Grosso-Vertrieb, Magdeburg ",,31 Bl.,"Kaufmann, Hans"
F 04653,19370101,19461231,1937 - 1946,13.11 Firmen K,"Kaufmann, Dr. Edmund, Buchhandlung, Buch- und Kunstantiquariat, Mainz",,14 Bl.,"Kaufmann, Edmund"
F 04654,19340101,19371231,1934 - 1937,13.11 Firmen K,"Kaufmann Inc., Ernst, Verlags- und Sortimentsbuchhandlung, New York (USA)",,4 Bl.,"Kaufmann, Ernst"
F 04655,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaufmann jr., Wilh. Buchhandlung, Zeitungsvertrieb, Schreib- und Büroartikel, Paderborn",,11 Bl.,"Kaufmann, Wilhelm"
F 04656,19370101,19501231,1937 - 1950,13.11 Firmen K,"Kaufmann, Richard, Buchhandlung und Antiquariat, Inhaber W. Messerschmidt und C. Hosp, Stuttgart",,14 Bl.,"Kaufmann, Richard"
F 04657,19370101,19501231,1937 - 1950,13.11 Firmen K,"Kaufmann Nachfolger Inhaber Kurt Voigt, A., Buch-, Kunst-, Musikalien-, Lehrmittel-, Papier- und Schreibwarenhandlung, Verlag, Suhl",,23 Bl.,"Kaufmann, A."
F 04658,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaulfuss, Th., Kunsthandlung und Konzertdirektion, Inhaber Richard Clemens, Liegnitz, später Adasch, Max, Sortimentsbuchhandlung, Oberkaufungen",,6 Bl.,"Kaulfuss, Th."
F 04659,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaumann vorm. Ferd. Fahnenschreiber, Julius, Buch- und Musikalienhandlung, Jülich",,34 Bl.,"Kaumann, Julius"
F 04660,19370101,19541231,1937 - 1954,13.11 Firmen K,"Kaun-Verlag, Rich., Inhaberinnen Charlotte Rühle und Erna Nadge, Berlin, später Königsee ",,11 Bl.,"Kaun, Richard"
F 04661,19370101,19441231,1937 - 1944,13.11 Firmen K,"Kaupert, Oskar, Buchdruckerei und Zeitschriftenverlag, Schwarzwald-Adressbuchverlag, Freudenstadt",,12 Bl.,"Kaupert, Oskar"
F 04662,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaussler's Buchhandlung, Ed., Buch- und Musikalienhandlung, Inhaber August Roediger, Landau",,9 Bl.,"Kaussler, Ed."
F 04663,19370101,19501231,1937 - 1950,13.11 Firmen K,"Kaven's Leihbibliotheken, Otto, Geschäftsführer Rudolf Jaspersen, Hamburg",,13 Bl.,"Kaven, Otto"
F 04664,19370101,19411231,1937 - 1941,13.11 Firmen K,"Kawi-Verlag Karl Wilke, Musikverlag, Berlin",,6 Bl.,Kawi-Verlag
F 04665,19380101,19381231,1938,13.11 Firmen K,"Kayser, F., Buch-, Kunst- und Musikalienhandlung, Bad Gastein",,4 Bl.,"Kayser, F."
F 04666,19330101,19491231,1933 - 1949,13.11 Firmen K,"Kayser, Hermann, Verlag und Buchdruckerei, Inhaber Fritz Hildebrand, Kaiserslautern",,26 Bl.,"Kayser, Hermann"
F 04667,19370101,19471231,1937 - 1947,13.11 Firmen K,"Kayssner-Verlag, Kurt, Inhaberin Erna Kayssner, Buckow",,17 Bl.,"Kayssner, Kurt"
F 04668,19370101,19501231,1937 - 1950,13.11 Firmen K,"Keckeisen, Josef, Buch- und Papierhandlung, Antiquariat, München, später Steinebach",,8 Bl.,"Keckeisen, Josef"
F 04669,19370101,19391231,1937 - 1939,13.11 Firmen K,"Keel-Gut, Adolph, Buch- und Kunsthandlung, Chur (Schweiz)",,11 Bl.,"Keel-Gut, Adolph"
F 04670,19360101,19491231,1936 - 1949,13.11 Firmen K,"Kefersteinsche Papierhandlung Komm.-Ges., Lehrmittel-Verlag, Pers. haft. Gesellsch. Johann Wicke und Karl Becher, Halle (Saale) ",,14 Bl.,Kefersteinsche Papierhandlung
F 04671,19340101,19491231,1934 - 1949,13.11 Firmen K,"Kehl, Oskar, Bahnhofsbuchhandlung, Neunkirchen",,28 Bl.,"Kehl, Oskar"
F 04672,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kehrein, Peter, Buchhandlung und Schreibwaren, Neuwied",,20 Bl.,"Kehrein, Peter"
F 04673,19360101,19401231,1936 - 1940,13.11 Firmen K,"Keils Nachfolger (August Scherl) G.m.b.H., Ernst, Verlagsbuchhandlung, Verlag und Auslieferung der ""Gartenlaube"", Geschäftsführer Ludwig Klitzsch, Berlin",,22 Bl.,"Keil, Ernst"
F 04674,19370101,19481231,1937 - 1948,13.11 Firmen K,"Keil's Buchhandlung Bruno Piwowarsky, Dr., Buch-, Kunst-, Musikalien-, und Schreibwarenhandlung, Boppard",,15 Bl.,Keils Buchhandlung
F 04675,19370101,19371231,1937,13.11 Firmen K,"Keil, B. A., Buch-, Kunst-, Musikalien-, und Papierhandlung, Inhaber Bohumil Keil, Chrudim",,3 Bl.,"Keil, B. A."
F 04676,19350101,19501231,1935 - 1950,13.11 Firmen K,"Keil, Arthur Ernst, Buchhandlung und Verlag, Graslitz (Kraslice, Tschechien), später Lindach",,43 Bl.,"Keil, Arthur Ernst"
F 04677,19370101,19431231,1937 - 1943,13.11 Firmen K,"Keil, Ed., Buch-, Musikalien- und Schreibwarenhandlung, Pabianice (Polen)",,17 Bl.,"Keil, Eduard"
F 04678,19370101,19491231,1937 - 1949,13.11 Firmen K,"Keil, A., Buch- und Musikalienhandlung, Inhaberinnen Anna Keil und Gabriele Richter, spätere Inhaberin Elisabeth Richter, Rüdesheim (Rhein)",,36 Bl.,"Keil, A."
F 04679,19370101,19491231,1937 - 1949,13.11 Firmen K,"Keine, Wilh., Buch- und Papierhandlung, Buchdruckerei, Buchbinderei, Hemer",,21 Bl.,"Keine, Wilhelm"
F 04680,19370101,19401231,1937 - 1940,13.11 Firmen K,"Keiner, Adolf, Buch- und Papierhandlung, Hof",,10 Bl.,"Keiner, Adolf"
F 04681,19370101,19551231,1937 - 1955,13.11 Firmen K,"Keiper, W., Antiquariat, Verlag, Sortiment, Berlin",,16 Bl.,"Keiper, Wolfgang"
F 04682,19300101,19441231,1930 - 1944,13.11 Firmen K,"Keiserman, A., Buchhandlung, Reval (Tallinn, Estland)",,119 Bl.,"Keiserman, A."
F 04683,19370101,19371231,1937,13.11 Firmen K,"Keitel, Fritz, Buchhandlung, Schreibwaren, Osnabrück",,3 Bl.,"Keitel, Fritz"
F 04684,19360101,19551231,1936 - 1955,13.11 Firmen K,"Kell's Buchhandlung, A., Buch-, Kunst- und Musikalienhandlung, Geschäftsführer Curt Emil Schmidt und Margarete Kell, Plauen",,48 Bl.,"Kell, A."
F 04685,19370101,19371231,1937,13.11 Firmen K,"Keller, Fritz, Verlag, Berlin",,10 Bl.,"Keller, Fritz"
F 04686,19370101,19481231,1937 - 1948,13.11 Firmen K,"Keller, Heinrich K.-G., Verlag, Pers. haft. Gesellsch. Friedrich Meyer, späterer Inhaber Dr. Heinrich Thiele, Leipzig",,13 Bl.,"Keller, Heinrich"
F 04687,19370101,19561231,1937 - 1956,13.11 Firmen K,"Keller, Willibald, Verlag, Leipzig",,26 Bl.,"Keller, Willibald"
F 04688,19370101,19371231,1937,13.11 Firmen K,"Keller Nachf. Alfons Keller, Franz, Buch- und Papierhandlung, Neustadt",,3 Bl.,"Keller, Franz"
F 04689,19370101,19671231,1937 - 1967,13.11 Firmen K,"Kellers Witwe, E. F., Sortimentsbuchhandlung, Kunst-, Musikalien-, Papier- und Schreibwarenhandlung, Verlag, Inhaber Ernst Paul Keller, Stollberg",,98 Bl.,"Kellers Witwe, E. F."
F 04690,19370101,19491231,1937 - 1949,13.11 Firmen K,"Keller, Peter, Buch- und Kunsthandlung, Völklingen",,23 Bl.,"Keller, Peter"
F 04691,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kellerers Hof-Buch- und Kunsthandlung, Max, Inhaber Egon Freiherr von Berchem, München, später Riederau",,12 Bl.,"Kellerer, Max Buchhandlung"
F 04692,19370101,19441231,1937 - 1944,13.11 Firmen K,"Kellerer's Verlag, Max, Schulbuch-Verlag, Inhaber Egon Freiherr von Berchem und Dr. Hans Bockwitz, später Wilhelm Oldenbourg, München",,31 Bl.,"Kellerer, Max Verlag"
F 04693,19370101,19441231,1937 - 1944,13.11 Firmen K,"Kellermann, Hans, Verlag und Buchhandlung, Inhaber Erich Kolkwitz, Halle (Saale)",,45 Bl.,"Kellermann, Hans"
F 04695,19370101,19441231,1937 - 1944,13.11 Firmen K,"Kellner's Buch- und Kunsthandlung Otto Tzschaschel, J., Würzburg",,15 Bl.,"Kellner, J."
F 04696,19370101,19441231,1937 - 1944,13.11 Firmen K,"Kelly's Directories G.m.b.H., Verlagsbuchhandlung, Adressbücher von Großbritannien und Kolonien, Geschäftsführer R. Renner, Hamburg",,12 Bl.,Kellys Directories
F 04697,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kelterborn, Ernst, Verlags- und Versandbuchhandlung, Göttingen",,5 Bl.,"Kelterborn, Ernst"
F 04698,19360101,19431231,1936 - 1943,13.11 Firmen K,"Kemink & Zoon's Sortiment, Direktoren A. D. Oosthoek und R. J. Krietemeyer, Utrecht (Niederlande)",,32 Bl.,Kemink & Zoon
F 04699,19370101,19451231,1937 - 1945,13.11 Firmen K,"Kemp, H., Reisebuchhandlung, Inhaber Heinrich Kemp, Köln",,5 Bl.,"Kemp, Heinrich "
F 04700,19370101,19441231,1937 - 1944,13.11 Firmen K,"Kemper, Edmund, Bücherstube, Oberhausen ",,23 Bl.,"Kemper, Edmund"
F 04702,19350101,19431231,1935 - 1943,13.11 Firmen K,"Kempfe, Johannes, G.m.b.H., Verlag, Fa. in Konkurs, Berlin",,12 Bl.,"Kempfe, Johannes"
F 04703,19370101,19451231,1937 - 1945,13.11 Firmen K,"Kempskys Nachfolger Emanuel Soika, Arthur, Buch-, Musikalien-, Papier- und Schreibwarenhandlung, Buchdruckerei, Hindenburg",,6 Bl.,"Kempsky, Arthur"
F 04704,19340101,19381231,1934 - 1938,13.11 Firmen K,"Kende, Josef, Buchhandlung, Antiquariat, Verlag, Wien (Österreich)","Enthält u. a.: Streichung aus dem Adressbuch des Deutschen Buchhandels als nichtarisches Unternehmen - Erwerb der Abteilung Buchhandel der Firma „Hahn & Goldmann“, 1934.- Vertrieb von Büchern des Querido-Verlages.- Überwachung F. Volckmars wegen des Vertriebs von Hans Maurers „Kanzler Dollfuß“ und der Verbindung zu Kende, 1935.- Auslieferung von Werken von Alfred Döblin, Albert Einstein, Jakob Wassermann, Arnold Zweig u. a.- Besetzung des Verlages nach der Annexion Österreichs und Beschlagnahme von Büchern Max Brods, Egon Erwin Kischs, Josef Roths u. a., Apr. 1938.- Verhaftung von Josef Kende, Elvira Groß geb. Kende, Otto Kerry und Oskar Bielitz.",64 Bl.,"Kende, Josef"
F 04705,19370101,19371231,1937,13.11 Firmen K,"Der Kentaur-Verlag Fritz Jentsch, Berlin",,3 Bl.,Kentaur-Verlag 
F 04706,19370101,19371231,1937,13.11 Firmen K,"Keppler K.-G., Carl Fr., Zeitschriften- und Buchhandlung, Stuttgart",,4 Bl.,"Keppler, Carl Fr."
F 04707,19370101,19501231,1937 - 1950,13.11 Firmen K,"Kepplerhaus G.m.b.H., Buch- und Kunsthandlung, Geschäftsführer Emil Fink und Heinrich Bristle, Stuttgart",,14 Bl.,Kepplerhaus
F 04708,19370101,19421231,1937 - 1942,13.02 Firmen B,"Bünnecke, Kurt, Sortiments- und Versandbuchhandlung, Alsfeld",,17 Bl.,"Bünnecke, Kurt"
F 04709,19370101,19541231,1937 - 1954,13.11 Firmen K,"Kerk & Müller, Sortiments-, Versand- und Antiquariatsbuchhandlung, Zeitschriften-Vertrieb, Inhaber Kurt Kerk, Leipzig",,45 Bl.,Kerk & Müller
F 04710,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kerkhoff, Max van den, Buch- und Schreibwarenhandlung, Inhaber Rudolf Mennenöh, Krefeld",,43 Bl.,"Kerkhoff, Max van den"
F 04711,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kerle, F. H., Buch- und Kunsthandlung, Inhaber Wilhelm Rühling, Heidelberg",,15 Bl.,"Kerle, F. H."
F 04712,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kerlé Inhaber Klaus Tibes, Fritz, Buch- und Musikalienhandlung, Antiquariat, M. Gladbach",,26 Bl.,"Kerlé, Fritz"
F 04713,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kerler, Heinrich, Sortiment, Antiquariat und Verlag, Inhaber Gustav Ensinger, Ulm",,12 Bl.,"Kerler, Heinrich"
F 04714,19370101,19431231,1937 - 1943,13.11 Firmen K,"Kern, Ludwig, Musiksortiment, Antiquariat und Verlag, Wien (Österreich)",,6 Bl.,"Kern, Ludwig"
F 04716,19370101,19541231,1937 - 1954,13.11 Firmen K,"Kernen, Alfred, Verlag, Inhaber J. Kernen, Stuttgart",,33 Bl.,"Kernen, Alfred"
F 04717,19370101,19421231,1937 - 1942,13.11 Firmen K,"Kerpel, Izsó, Buch-, Papier- und Musikalienhandlung, später ""Libro"" Paula Mera, Arad (Rumänien)",Enthält u. a.: Hinweise auf die Beeinträchtigung des Geschäftsganges der Firma als nichtarisches Unternehmen,39 Bl.,"Kerpel, Izsó"
F 04718,19370101,19791231,1937 - 1979,13.11 Firmen K,"Kerstan, Fritz, Buch-, Papier- und Schreibwarenhandlung, Ruhland",,62 Bl.,"Kerstan, Fritz"
F 04719,19370101,19371231,1937,13.11 Firmen K,"Kersten & Co., C., Buchhandlung, Paramaribo (Niederländisch-Guyana)",,3 Bl.,Kersten & Co.
F 04720,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kersting, C., Buchhandlung, Hagen",,20 Bl.,"Kersting, C."
F 04721,19370101,19381231,1937 - 1938,13.11 Firmen K,"Kessel, Wilhelm, Buch- und Papierhandlung, Köln-Mülheim",,6 Bl.,"Kessel, Wilhelm"
F 04722,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kesselringsche Verlagsbuchhandlung, Inhaberin Henny von Mayer, Frankfurt (Main) und Leipzig, später Wiesbaden",,19 Bl.,Kesselringsche Verlagsbuchhandlung
F 04723,19290101,19531231,1929 - 1953,13.11 Firmen K,"Kesselring'sche Hofbuchhandlung, Buch-, Kunst-, Musikalien- und Landkartenhandlung, Inhaber Luise und Wilhelm Achilles, Hildburghausen",,57 Bl.,Kesselringsche Hofbuchhandlung
F 04724,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kesslersche Buchhandlung, Ferd., Inhaber Johann Andreas gen. Hans Kempf, Kassel",,11 Bl.,"Kessler, Ferdinand"
F 04725,19370101,19421231,1937 - 1942,13.11 Firmen K,"Kessler, August, Musikalienhamdlung, Inhaberin Norma Kessler, Mannheim",,13 Bl.,"Kessler, August"
F 04726,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kesslers Buchhandlung, Inhaberin Charlotte Kessler, später Wilhelm von Freeden, Bad Pyrmont",,18 Bl.,Kesslers Buchhandlung
F 04727,19370101,19371231,1937,13.11 Firmen K,"Kessler, Hans, Musik-Verlag, Musikalien- und Instrumentenhandlung, Trier",,3 Bl.,"Kessler, Hans"
F 04728,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kettner & Co., Rolanddruck, Verlag und Buchhandlung, Inhaber Wilhelm Kettner und Wilhelm Holtmann, Brandenburg (Havel)",,28 Bl.,Kettner & Co.
F 04729,19370101,19421231,1937 - 1942,13.11 Firmen K,"Kettelerhaus G.m.b.H., Verlag und Buchversand, Geschäftsführer Dr. Otto Müller, M. Gladbach",,11 Bl.,Kettelerhaus
F 04730,19370101,19371231,1937,13.11 Firmen K,"Kettner, Alexander, Musikalien-Sortiment, Hannover",,6 Bl.,"Kettner, Alexander"
F 04731,19370101,19391231,1937 - 1939,13.11 Firmen K,"Keuscher, Käthe, Buch- und Schreibwarenhandlung, Marburg ",,26 Bl.,"Keuscher, Käthe"
F 04732,19370101,19491231,1937 - 1949,13.11 Firmen K,"Keutel, Gerhard, Antiquariat, Berlin, später Bad Harzburg",,13 Bl.,"Keutel, Gerhard"
F 04733,19370101,19421231,1937 - 1942,13.11 Firmen K,"Keutel, Richard, Versand-Buch- und Kunsthandlung, Verlag, Lahr",,17 Bl.,"Keutel, Richard"
F 04734,19370101,19371231,1937,13.11 Firmen K,"Kewitsch, Maria, Buch-, Kunst-, Musikalien-, Papier- und Schreibwarenhandlung, Inhaberin Toni Hennig, Guttstadt",,3 Bl.,"Kewitsch, Maria"
F 04735,19360101,19581231,1936 - 1958,13.11 Firmen K,"Keyser'sche Buchhandlung K.-G., Antiquariat, Reisebuchhandlung, Verlag, Zeitschriften-Grosshandlung, Pers. haft. Gesellsch. Bruno und Hans Joachim Neumann, Erfurt",,64 Bl.,Keysersche Buchhandlung
F 04736,19360101,19491231,1936 - 1949,13.11 Firmen K,"Keyssner'sche Hofbuchdruckerei G.m.b.H., Verlag und Buchdruckerei, Geschäftsführer Albert Stahl, Meiningen",,35 Bl.,Keyssnersche Hofbuchdruckerei
